userID	artistID	weight
2044	961	32
965	293	132
950	917	3513
2034	4452	197
1852	2044	9974
965	67	2389
294	1590	97
122	2996	21
650	8885	314
1841	16	461
434	578	5
604	292	1431
446	227	1890
486	258	34
1280	221	665
1079	383	2605
1075	3206	1036
368	423	600
782	10010	89
1368	14151	234
1740	430	561
799	10118	71
804	457	931
70	1978	722
1083	1857	244
1387	12544	175
1151	813	377
30	966	78
1835	1786	51
1981	7194	150
70	1982	369
340	5846	346
2072	403	3776
1476	161	493
852	525	485
1988	15900	67
1396	1360	117
1518	620	434
1578	300	294
2060	7115	122
260	285	576
1907	2668	148
213	207	722
47	1460	404
1376	207	15
649	837	101
756	7076	60
594	511	307
789	10052	369
1246	56	468
1090	12244	9
1449	4079	936
1167	12884	35
1541	1001	410
1224	975	51
1134	3078	7
763	493	308
2095	18685	56
1239	683	401
286	265	186
2077	429	485
1636	199	52
654	3405	75
1496	2691	99
1486	3646	30
1111	2847	4171
689	161	24
1705	969	721
611	4038	12
726	9583	1
949	779	2553
1340	13523	311
717	9518	344
652	8907	471
1922	629	35
279	500	222
1998	533	1235
1485	2616	466
1171	7846	143
1375	7804	540
1357	14071	5075
81	2256	126
1273	3186	111
569	89	131
921	2222	764
1494	8067	3
302	340	1991
668	498	540
466	1775	116
2024	238	10
154	1914	19
30	1051	166
1032	2894	87
959	1895	132
1441	1398	105
1989	18039	173
1590	317	202
730	310	123
824	969	30
946	2987	314
955	11341	436
2008	1672	779
466	333	384
261	4104	328
340	689	383
1119	498	287
78	2172	85
1825	7634	67
128	54	470
64	1829	239
72	2020	16
636	1058	263
656	2562	18
5	209	252
1477	14783	10
1439	154	859
649	707	55
1441	424	2659
1595	1369	173
1108	2921	59
407	64	33
173	3744	218
1926	166	642
51	1536	158
606	813	439
2014	61	351
243	67	5180
346	704	687
627	2055	565
1815	900	330
244	481	146
1405	1106	602
1495	5205	11
90	2453	123
1492	288	198
296	5386	4
220	226	61
679	157	173
1254	370	1405
411	2251	66
207	3079	213
661	2314	130
18	723	277
1787	1817	269
1299	1580	135
331	5750	525
449	506	118
743	5929	2253
1114	511	399
24	316	1998
364	1755	664
2025	159	846
364	5416	594
1851	681	204
778	3081	2035
671	2986	77
101	779	682
495	6715	40
269	968	24
377	1974	1103
710	3110	97
1594	1239	479
1817	16854	175
